id,org_id,name,email,phone,resume_url,status,created_by,created_at,updated_at,resume_parsed,skills,experience_level,total_years_experience,education,summary,searchable_content,linkedin_url,portfolio_url,work_authorization,visa_sponsorship,age_confirmation,previous_employee,referral_source,employment_history,comprehensive_education,data_privacy_ack,ai_acknowledgment,gender,race_ethnicity,veteran_status,disability_status,skill_levels,source
0344da15-f503-4e31-831f-cf36448d9192,64eea1fa-1993-4966-bbd8-3d5109957c20,Hiroshi Tanaka,hiroshi.tanaka@example.com,5551923876,/uploads/resumes/resume_Y3b9-qGZfJD7JqaMZdmb4.pdf,active,,2025-09-25 02:42:30.868+00,2025-09-25 16:43:24.4078+00,false,,,0,,,"hiroshi tanaka hiroshi.tanaka@example.com    ",,,,,,,,,,false,false,,,,,,
0ac0ed4a-5cfd-4eae-af7d-c6cbcd783ab9,00000000-0000-0000-0000-000000000000,Eva Brown,eva.brown@example.com,+1-555-4444,https://example.com/eva-resume.pdf,active,,2025-07-30 15:39:02.709269+00,2025-08-21 15:24:46.062263+00,false,,,0,,,"eva brown eva.brown@example.com    ",,,,,,,,,,false,false,,,,,,
11e58c9a-9748-474e-b309-9361ffdb6820,90531171-d56b-4732-baba-35be47b0cb08,Sarah Johnson,sarah.johnson@email.com,555-0199,,active,,2025-08-21 15:21:33.429+00,2025-08-21 15:24:46.062263+00,false,,,0,,,"sarah johnson sarah.johnson@email.com    ",,,,,,,,,,false,false,,,,,,
19927f3f-e0be-48cf-8a89-aaa6fd51cc51,00000000-0000-0000-0000-000000000000,David Wilson,david.wilson@example.com,+1-555-6666,https://example.com/david-resume.pdf,active,,2025-07-30 15:38:47.462583+00,2025-08-21 15:24:46.062263+00,false,,,0,,,"david wilson david.wilson@example.com    ",,,,,,,,,,false,false,,,,,,
201123d9-b564-4826-82a9-dbce26f25bd9,16aa3531-ac4f-4f29-8d7e-c296a804f1d3,John Doe,john.doe@example.com,555-1234,,active,,2025-08-21 00:51:23.843+00,2025-08-21 02:53:49.738697+00,true,"[""React"",""JavaScript"",""Python""]",mid,0,[],Senior Developer with 5 years React JavaScript Python experience,senior developer with 5 years react javascript python experience react javascript python,,,,,,,,,,false,false,,,,,,
246a2377-dff0-4618-b284-868a24a2f88e,16aa3531-ac4f-4f29-8d7e-c296a804f1d3,Jane Smith,jane.smith@example.com,555-5678,https://example.com/resume.pdf,active,,2025-08-21 00:51:55.574+00,2025-08-24 19:59:18.437682+00,false,,,0,,,"jane smith jane.smith@example.com    ",,,,,,,,,,false,false,,,,,,
2d510f67-fbbb-4716-97c9-4009695a890a,16aa3531-ac4f-4f29-8d7e-c296a804f1d3,Sarah Johnson,sarah.johnson@email.com,555-9999,,active,,2025-08-21 02:29:23.027+00,2025-08-21 15:24:46.062263+00,false,,,0,,,"sarah johnson sarah.johnson@email.com    ",,,,,,,,,,false,false,,,,,,
389753a2-5e98-488f-823d-47e409e0fb76,00000000-0000-0000-0000-000000000000,Alice Johnson,alice@example.com,+1-555-9999,https://example.com/alice-resume.pdf,active,,2025-07-30 15:37:49.436093+00,2025-08-21 15:24:46.062263+00,false,,,0,,,"alice johnson alice@example.com    ",,,,,,,,,,false,false,,,,,,
3fefd06a-c908-4238-ac47-9dce1cdb65c5,90531171-d56b-4732-baba-35be47b0cb08,Emily Wright,emily.wright@example.com,555-0100,"data:application/pdf;base64,JVBERi0xLjQKJeLjz9MKMSAwIG9iago8PAovVHlwZSAvQ2F0YWxvZwovUGFnZXMgMiAwIFIKPj4KZW5kb2JqCjIgMCBvYmoKPDwKL1R5cGUgL1BhZ2VzCi9LaWRzIFsgMyAwIFIgXQovQ291bnQgMQo+PgplbmRvYmoKMyAwIG9iago8PAovVHlwZSAvUGFnZQovTWVkaWFCb3ggWzAgMCA2MTIgNzkyXQovUGFyZW50IDIgMCBSCi9SZXNvdXJjZXMgPDwKL0ZvbnQgPDwKL0YxIDQgMCBSCj4+Cj4+Ci9Db250ZW50cyA1IDAgUgo+PgplbmRvYmoKNCAwIG9iago8PAovVHlwZSAvRm9udAovU3VidHlwZSAvVHlwZTEKL0Jhc2VGb250IC9UaW1lcy1Sb21hbgo+PgplbmRvYmoKNSAwIG9iago8PAovTGVuZ3RoIDEwOAo+PgpzdHJlYW0KQNQKNDA3Ny4wMDAgMCBUZApCVApxCjYxMiAwIDAgNzkyIDAgMCBjbQovRjEgMTIgVGYKMTAwIDcwMCBUZAooRW1pbHkgV3JpZ2h0IFJlc3VtZSkgVGoKUQpRCmVuZHN0cmVhbQplbmRvYmoKeHJlZgo...",active,,2025-08-25 01:04:28.793894+00,2025-08-25 01:06:20.470091+00,false,,,0,,,"emily wright emily.wright@example.com    ",,,,,,,,,,false,false,,,,,,
6d5ed5d7-602f-4b1d-8de9-6fd3ffc980d3,64eea1fa-1993-4966-bbd8-3d5109957c20,Emily Wright,emily.wright@example.com,555-123-9876,/uploads/resumes/resume_VPuyLVZHcSyNCvyxM4aGc.pdf,active,,2025-09-25 00:04:41.49+00,2025-09-25 20:08:20.403519+00,false,,,0,,,"emily wright emily.wright@example.com    ",,,,,,,,,,false,false,,,,,,
8070e136-a27e-4178-aecf-f5f9e1313d2e,64eea1fa-1993-4966-bbd8-3d5109957c20,Marcus Johnson,marcusjohnson@company.com,5559876543,/uploads/resumes/resume_X5S1pO_adUOlmC04IimJ2.pdf,active,,2025-08-25 16:22:36.95+00,2025-09-25 23:13:37.734157+00,false,,,0,,,"marcus johnson marcusjohnson@company.com    ",,,,,,,,,,false,false,,,,,,
b1363463-a3f3-424a-85e3-d65bdbf691e5,64eea1fa-1993-4966-bbd8-3d5109957c20,David Chen,davidchen@company.com,5551234567,/uploads/resumes/resume_-CF8_9GAZ9tCKVMw85KwE.docx,active,,2025-08-25 15:47:47.747+00,2025-10-11 17:33:29.004985+00,false,"[""AWS"",""Azure"",""Java"",""Python"",""React""]",,0,,,"david chen davidchen@company.com  aws azure java python react  ",,,,,,,,,,false,false,,,,,"{""AWS"": ""Intermediate"", ""PMP"": ""Intermediate"", ""Java"": ""Advanced"", ""Azure"": ""Intermediate"", ""React"": ""Beginner"", ""orgId"": ""64eea1fa-1993-4966-bbd8-3d5109957c20"", ""Python"": ""Advanced"", ""Javascript"": ""Advanced""}",
bd4b1848-19d1-43af-8e3a-403220cca44d,90531171-d56b-4732-baba-35be47b0cb08,Test Candidate,test@example.com,555-0123,,active,,2025-08-21 15:21:04.455285+00,2025-08-21 15:21:20.263522+00,true,"[""JavaScript"",""TypeScript"",""Python"",""React"",""Node.js"",""Express"",""PostgreSQL"",""MongoDB"",""AWS"",""Docker"",""Kubernetes"",""Leadership"",""Team Management"",""Mentoring"",""Problem Solving"",""Communication"",""AWS Certified Solutions Architect"",""Google Cloud Professional""]",senior,0,"[{""degree"":""Bachelor of Science in Computer Science"",""institution"":""University of California, Berkeley"",""graduationYear"":""2017"",""gpa"":""3.8/4.0"",""major"":""Computer Science""}]","Experienced full-stack software engineer with 6+ years developing scalable web applications. Expertise in React, Node.js, Python, and cloud technologies. Led teams and mentored junior developers.","experienced full-stack software engineer with 6+ years developing scalable web applications. expertise in react, node.js, python, and cloud technologies. led teams and mentored junior developers. javascript typescript python react node.js express postgresql mongodb aws docker kubernetes leadership team management mentoring problem solving communication aws certified solutions architect google cloud professional senior software engineer techcorp inc. led development of microservices architecture serving 1m+ daily active users. reduced system latency by 40% through performance optimization. mentored team of 5 junior engineers and established code review practices. implemented ci/cd pipelines reducing deployment time by 60%. software engineer startupxyz built full-stack e-commerce platform from scratch using react and node.js. developed restful apis handling 100k+ requests per day. improved application performance by 60% through optimization. collaborated with product team to define technical requirements. junior developer websolutions developed responsive websites using html, css, javascript. fixed bugs and implemented new features for client projects. learned modern frameworks and development best practices. bachelor of science in computer science university of california, berkeley computer science e-commerce platform built scalable platform using react, node.js, postgresql, stripe react node.js postgresql stripe task management app full-stack application with real-time updates using socket.io socket.io machine learning classifier python-based text classification using scikit-learn python scikit-learn english spanish mandarin",,,,,,,,,,false,false,,,,,,
d3843983-05e6-4c8c-a1f6-bc246690ef2b,64eea1fa-1993-4966-bbd8-3d5109957c20,Jane Doe,jane.doe@test.com,555-987-6543,,active,,2025-08-27 02:24:23.54+00,2025-09-25 16:30:55.79096+00,false,,,0,,,"jane doe jane.doe@test.com    ",,,,,,,,,,false,false,,,,,,
d48d5788-00b8-436f-9cb9-a141fa6d00aa,64eea1fa-1993-4966-bbd8-3d5109957c20,Sophia Ramirez,sophia.ramirez@example.com,5551236789,/uploads/resumes/resume__gkhwYrCmVPJNy_LKzEKC.docx,active,,2025-09-25 02:40:38.07+00,2025-09-25 23:13:41.90741+00,false,,,0,,,"sophia ramirez sophia.ramirez@example.com    ",,,,,,,,,,false,false,,,,,,
e680b545-e685-454d-b3ab-71db01743584,90531171-d56b-4732-baba-35be47b0cb08,Test Candidate,test.candidate@example.com,555-123-4567,https://example.com/resume.pdf,active,,2025-08-21 18:12:02.566+00,2025-08-21 18:12:02.566+00,false,,,0,,,"test candidate test.candidate@example.com    ",,,,,,,,,,false,false,,,,,,
eb2dbe1f-dcdd-457e-9a22-bc1dda47e988,90531171-d56b-4732-baba-35be47b0cb08,Emily Chen,emily.chen@email.com,555-0188,,active,,2025-08-21 15:22:31.553+00,2025-08-25 01:04:10.176127+00,true,"[""JavaScript"",""TypeScript"",""Python"",""Java"",""Go"",""SQL"",""React"",""Vue.js"",""Angular"",""HTML5"",""CSS3"",""Sass"",""Redux"",""Next.js"",""Node.js"",""Express"",""Django"",""FastAPI"",""Spring Boot"",""GraphQL"",""PostgreSQL"",""MongoDB"",""Redis"",""MySQL"",""DynamoDB"",""AWS"",""Google Cloud"",""Azure"",""Docker"",""Kubernetes"",""Terraform"",""Git"",""Jenkins"",""GitHub Actions"",""Webpack"",""Jest"",""Cypress"",""Leadership"",""Team Collaboration"",""Mentoring"",""Problem Solving"",""Communication"",""Agile Development"",""AWS Certified Solutions Architect Professional"",""Google Cloud Professional Cloud Architect"",""Certified Kubernetes Administrator (CKA)""]",senior,0,"[{""degree"":""Master of Science in Computer Science"",""institution"":""MIT"",""graduationYear"":""2022"",""gpa"":""3.9/4.0"",""major"":""Artificial Intelligence and Machine Learning""},{""degree"":""Bachelor of Science in Software Engineering"",""institution"":""University of California, Berkeley"",""graduationYear"":""2020"",""gpa"":""3.8/4.0""}]","Accomplished full-stack developer with 5+ years of experience building scalable web applications. Expert in React, Node.js, Python, and cloud technologies. Proven track record of leading high-impact projects at top tech companies and mentoring development teams.","emily chen emily.chen@email.com accomplished full-stack developer with 5+ years of experience building scalable web applications. expert in react, node.js, python, and cloud technologies. proven track record of leading high-impact projects at top tech companies and mentoring development teams. javascript typescript python java go sql react vue.js angular html5 css3 sass redux next.js node.js express django fastapi spring boot graphql postgresql mongodb redis mysql dynamodb aws google cloud azure docker kubernetes terraform git jenkins github actions webpack jest cypress leadership team collaboration mentoring problem solving communication agile development aws certified solutions architect professional google cloud professional cloud architect certified kubernetes administrator (cka)  ",,,,,,,,,,false,false,,,,,,
f3ef35a7-6f46-4c87-830e-952897a28868,00000000-0000-0000-0000-000000000000,Bob Smith,bob.smith@example.com,+1-555-7777,https://example.com/bob-resume.pdf,active,,2025-07-30 15:38:21.478023+00,2025-08-21 15:24:46.062263+00,false,,,0,,,"bob smith bob.smith@example.com    ",,,,,,,,,,false,false,,,,,,
fb14b7a9-55f2-47fe-a38c-a27b09b4ca8c,00000000-0000-0000-0000-000000000000,Carol Davis,carol.davis@example.com,+1-555-8888,https://example.com/carol-resume.pdf,active,,2025-07-30 15:38:32.853845+00,2025-08-21 15:24:46.062263+00,false,,,0,,,"carol davis carol.davis@example.com    ",,,,,,,,,,false,false,,,,,,
